Chromosome/scaffold name	Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	ENSG00000274692	ENSG00000274692.1	54769275	54783790
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000277345	ENSG00000277345.1	54877376	54892982
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000276424	ENSG00000276424.4	54895138	54911932
CHR_HSCHR17_4_CTG4	ENSG00000263057	ENSG00000263057.2	40875941	40885227
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	ENSG00000273526	ENSG00000273526.1	54832771	54848624
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	ENSG00000275062	ENSG00000275062.1	54723963	54736023
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000276423	ENSG00000276423.6	54802859	54817155
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	ENSG00000275433	ENSG00000275433.1	54726054	54736537
CHR_HSCHR17_4_CTG4	ENSG00000262068	ENSG00000262068.3	41008648	41019451
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	ENSG00000273738	ENSG00000273738.4	54874290	54891462
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	ENSG00000278786	ENSG00000278786.4	54786474	54798295
CHR_HSCHR17_4_CTG4	ENSG00000263296	ENSG00000263296.2	40999320	41000021
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	ENSG00000274948	ENSG00000274948.5	54816448	54830767
CHR_HSCHR17_4_CTG4	ENSG00000262121	ENSG00000262121.2	41105751	41106907
CHR_HSCHR1_1_CTG31	ENSG00000263130	ENSG00000263130.1	153764082	153768458
CHR_HSCHR1_1_CTG31	ENSG00000263163	ENSG00000263163.5	153791585	153797388
CHR_HSCHR12_6_CTG2_1	ENSG00000281935	ENSG00000281935.1	123826687	123935766
CHR_HSCHR17_4_CTG4	ENSG00000263091	ENSG00000263091.2	41065346	41066109
CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	ENSG00000276885	ENSG00000276885.1	54832710	54847746
CHR_HSCHR17_4_CTG4	ENSG00000264450	ENSG00000264450.1	40850800	40863282
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000274696	ENSG00000274696.2	54724453	54767462
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274163	ENSG00000274163.1	54786260	54790260
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274842	ENSG00000274842.4	54707916	54713453
CHR_HSCHR17_4_CTG4	ENSG00000263309	ENSG00000263309.6	40922696	40937634
CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	ENSG00000275786	ENSG00000275786.5	54816499	54830812
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	ENSG00000277835	ENSG00000277835.4	54830630	54842447
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000277070	ENSG00000277070.1	54698377	54701106
CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000278427	ENSG00000278427.5	54802842	54817184
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274406	ENSG00000274406.1	54832654	54848284
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000276676	ENSG00000276676.5	54782658	54797195
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	ENSG00000276985	ENSG00000276985.4	54945648	54961872
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000277078	ENSG00000277078.1	54863003	54878657
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000277376	ENSG00000277376.1	54799680	54812030
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000275276	ENSG00000275276.1	54769704	54783960
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000276084	ENSG00000276084.1	54724447	54736085
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000276258	ENSG00000276258.1	54738568	54752475
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000275659	ENSG00000275659.5	54814901	54878560
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000275946	ENSG00000275946.5	54771241	54780725
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000274189	ENSG00000274189.4	54848193	54859216
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000277267	ENSG00000277267.4	54707916	54713453
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	ENSG00000277982	ENSG00000277982.4	54877123	54893917
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000276534	ENSG00000276534.5	54802839	54817200
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000274120	ENSG00000274120.4	54707916	54713453
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000276425	ENSG00000276425.1	54738476	54752501
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000275421	ENSG00000275421.1	54847678	54861692
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275047	ENSG00000275047.1	54830927	54845947
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000278345	ENSG00000278345.1	54814919	54820584
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000275172	ENSG00000275172.1	54724485	54736504
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000275080	ENSG00000275080.5	54798381	54812886
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275511	ENSG00000275511.4	54864251	54881045
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000275112	ENSG00000275112.1	54700593	54700905
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274518	ENSG00000274518.1	54738519	54752638
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000276013	ENSG00000276013.1	54799595	54812147
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000277725	ENSG00000277725.5	54754632	54769000
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274945	ENSG00000274945.4	54848094	54859121
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274009	ENSG00000274009.1	54703952	54704235
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274942	ENSG00000274942.1	54754928	54766523
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000274722	ENSG00000274722.4	54836820	54853592
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000278051	ENSG00000278051.1	54786397	54790252
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000278850	ENSG00000278850.4	54849551	54866326
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000273518	ENSG00000273518.5	54816451	54830756
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000275351	ENSG00000275351.1	54832726	54848250
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000274782	ENSG00000274782.1	54769765	54784000
CHR_HSCHR20_1_CTG3	ENSG00000275018	ENSG00000275018.6	64211718	64278487
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000277833	ENSG00000277833.4	54769756	54784259
CHR_HSCHR1_1_CTG31	ENSG00000262994	ENSG00000262994.1	153734523	153735546
CHR_HSCHR1_1_CTG31	ENSG00000269823	ENSG00000269823.1	153789602	153791310
CHR_HSCHR1_1_CTG31	ENSG00000262710	ENSG00000262710.1	153802951	153803052
CHR_HSCHR1_1_CTG31	ENSG00000262469	ENSG00000262469.1	153743483	153743584
CHR_HSCHR12_6_CTG2_1	ENSG00000275035	ENSG00000275035.2	123918723	123946006
CHR_HSCHR1_1_CTG31	ENSG00000276295	ENSG00000276295.1	153721328	153721625
CHR_HSCHR1_1_CTG31	ENSG00000275531	ENSG00000275531.1	153700659	153700956
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276035	ENSG00000276035.1	54786406	54790261
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276001	ENSG00000276001.1	54700593	54700905
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000277193	ENSG00000277193.1	54830865	54845301
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000277176	ENSG00000277176.4	54831023	54842954
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000275289	ENSG00000275289.4	54707916	54713453
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000276392	ENSG00000276392.1	54819505	54829001
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000277650	ENSG00000277650.1	54830903	54845777
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000277964	ENSG00000277964.1	54803571	54814487
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000274851	ENSG00000274851.1	54754976	54767325
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000276329	ENSG00000276329.5	54861173	54875478
CHR_HSCHR17_4_CTG4	ENSG00000262845	ENSG00000262845.7	40977843	40987262
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000276212	ENSG00000276212.4	54771219	54784641
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000273661	ENSG00000273661.5	54754679	54769001
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000273688	ENSG00000273688.1	54786274	54790272
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000273881	ENSG00000273881.1	54700593	54700905
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	ENSG00000274830	ENSG00000274830.5	54738514	54753065
CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	ENSG00000274826	ENSG00000274826.4	54707916	54713453
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000274271	ENSG00000274271.1	54700593	54700905
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000276099	ENSG00000276099.1	54698377	54700905
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000277940	ENSG00000277940.1	54703952	54704235
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000277570	ENSG00000277570.1	54700593	54700905
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000274676	ENSG00000274676.1	54819459	54828923
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000273578	ENSG00000273578.1	54754600	54768961
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000276306	ENSG00000276306.1	54703952	54704235
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000278369	ENSG00000278369.1	54738530	54753070
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000274955	ENSG00000274955.4	54803541	54814525
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	ENSG00000276004	ENSG00000276004.4	54850300	54867064
CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	ENSG00000275699	ENSG00000275699.4	54803535	54814517
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000276498	ENSG00000276498.5	54802804	54817417
CHR_HSCHR17_4_CTG4	ENSG00000262808	ENSG00000262808.2	41040684	41041586
CHR_HSCHR17_4_CTG4	ENSG00000262731	ENSG00000262731.3	41054623	41055489
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000274707	ENSG00000274707.5	54755098	54764695
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000274193	ENSG00000274193.4	54789815	54800891
CHR_HSCHR17_4_CTG4	ENSG00000263229	ENSG00000263229.4	41117663	41118842
CHR_HSCHR17_4_CTG4	ENSG00000262487	ENSG00000262487.1	40921430	40976053
CHR_HSCHR17_4_CTG4	ENSG00000262376	ENSG00000262376.1	41072178	41072573
CHR_HSCHR17_4_CTG4	ENSG00000262347	ENSG00000262347.2	41034011	41034982
CHR_HSCHR17_4_CTG4	ENSG00000262520	ENSG00000262520.1	41101921	41102628
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	ENSG00000275008	ENSG00000275008.1	54738018	54752516
CHR_HSCHR17_4_CTG4	ENSG00000263243	ENSG00000263243.2	40861303	40867210
CHR_HSCHR12_6_CTG2_1	ENSG00000281954	ENSG00000281954.1	123927107	123935036
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	ENSG00000275599	ENSG00000275599.1	54843950	54858409
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000274402	ENSG00000274402.1	54738465	54752989
CHR_HSCHR17_4_CTG4	ENSG00000261862	ENSG00000261862.2	41026153	41027329
CHR_HSCHR17_4_CTG4	ENSG00000262164	ENSG00000262164.6	40958544	40967019
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000276247	ENSG00000276247.4	54707916	54713453
CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	ENSG00000274283	ENSG00000274283.5	54815911	54830525
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000275255	ENSG00000275255.4	54786292	54798222
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000273528	ENSG00000273528.4	54707916	54713453
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000276086	ENSG00000276086.1	54724481	54736671
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274243	ENSG00000274243.5	54782617	54797414
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	ENSG00000275521	ENSG00000275521.4	54906121	54910036
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000275486	ENSG00000275486.5	54816441	54830746
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000278414	ENSG00000278414.5	54771198	54780682
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000278474	ENSG00000278474.4	54880532	54897308
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000273502	ENSG00000273502.4	54724478	54736594
CHR_HSCHR17_4_CTG4	ENSG00000262616	ENSG00000262616.1	41004608	41004887
CHR_HSCHR17_4_CTG4	ENSG00000261852	ENSG00000261852.3	41046666	41047441
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276590	ENSG00000276590.5	54738496	54752881
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000274480	ENSG00000274480.1	54724486	54736514
CHR_HSCHR17_4_CTG4	ENSG00000263101	ENSG00000263101.2	40993557	40994260
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000275750	ENSG00000275750.1	54769705	54783961
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	ENSG00000278710	ENSG00000278710.4	54850408	54867186
CHR_HSCHR17_4_CTG4	ENSG00000262862	ENSG00000262862.2	41059470	41060344
CHR_HSCHR17_4_CTG4	ENSG00000263236	ENSG00000263236.2	41123559	41124635
CHR_HSCHR17_4_CTG4	ENSG00000263242	ENSG00000263242.2	41029824	41030231
CHR_HSCHR17_4_CTG4	ENSG00000266286	ENSG00000266286.2	41084386	41085542
CHR_HSCHR17_4_CTG4	ENSG00000261968	ENSG00000261968.3	41097371	41098544
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000274724	ENSG00000274724.1	54724448	54736134
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000273603	ENSG00000273603.1	54847887	54862123
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275596	ENSG00000275596.1	54819506	54828970
CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	ENSG00000278360	ENSG00000278360.1	54703952	54704235
CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	ENSG00000276139	ENSG00000276139.4	54738560	54752721
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000273922	ENSG00000273922.4	54707916	54713453
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000274788	ENSG00000274788.4	54709037	54713341
CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	ENSG00000276806	ENSG00000276806.1	54724507	54736522
CHR_HSCHR3_5_CTG2_1	ENSG00000281738	ENSG00000281738.1	184510148	184513434
CHR_HSCHR3_5_CTG2_1	ENSG00000281250	ENSG00000281250.1	184426592	184444693
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000275452	ENSG00000275452.2	54738501	54769226
CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275608	ENSG00000275608.5	54802886	54817473
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000276218	ENSG00000276218.5	54738484	54752990
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000277362	ENSG00000277362.1	54803533	54814482
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000278442	ENSG00000278442.4	54850442	54867200
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000278758	ENSG00000278758.4	54864015	54880809
CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000275253	ENSG00000275253.1	54738498	54752702
CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000275626	ENSG00000275626.4	54835435	54852194
CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	ENSG00000274146	ENSG00000274146.5	54802891	54817199
